title,discount,price,extra_info_1,extra_info_2,extra_info_3,course_subject,likes
[5주 완성] LangGraph를 활용한 실전 AI 애플리케이션 개발 마스터 캠프,23%,"765,000원",5주 과정,약 15시간,사전지식 필요,딥러닝,10+
[오프라인] 국내 1호 프롬프트 엔지니어 강수진 박사의 엔지니어를 위한 실무 프롬프트 엔지니어링,할인 없음,가격 정보 없음,,,,자연어처리,10+
RAG 평가와 개선의 모든 것 : 데이터셋 제작부터 agent 평가까지,최저가,"249,000원~",,,,딥러닝,20+
프로에게 배우는 상업적인 AI 이미지·영상 제작 마스터,최저가,"300,000원~",,약 25시간,누구나,딥러닝,100+
건축/인테리어 디자이너를 위한 하나뿐인 Stable Diffusion (ComfyUI) 패키지,45%,"260,500원",,약 15시간,누구나,딥러닝,220+
AI Intensive Workshop 2024 for Creative,할인 없음,가격 정보 없음,,,,딥러닝,10+
실리콘밸리 AI 개발자의 멀티모달 벡터 임베딩 마스터클래스 : 모델 파인튜닝부터 인프라 최적화까지,최저가,"269,000원~",,약 22시간,사전지식 필요,딥러닝,50+
INNER CIRCLE : AI 마스터 Course,내일배움카드,가격 정보 없음,,,,인공지능,10+
일관성을 유지하는 AI 영상 제작 with Midjourney & Runway,32%,"242,000원",,약 10시간,누구나,딥러닝,450+
vLLM을 활용한 고성능 저비용 LLM 서빙의 모든 것,66%,"272,000원",,약 10시간,사전지식 필요,딥러닝,180+
"프로에게 배우는 하이퍼리얼리티 인물 · 영상 제작: Midjourney, ComfyUI, Gen3",최저가,"354,500원~",,약 20시간,사전지식 필요,딥러닝,660+
ComfyUI와 Runway를 활용한 광고/방송/게임/영화 인물 영상 제작,46%,"182,000원",,약 16시간,누구나,딥러닝,170+
LLM 모델 파인튜닝을 위한 Quantization,최저가,"262,000원~",,약 25시간,사전지식 필요,딥러닝,110+
"Flux, ComfyUI, Gen3로 만드는 일관성 100% 감쪽같은 AI 영상",56%,"260,500원",,약 19시간,누구나,딥러닝,210+
AI로 만드는 현실같은 가상 배우와 몰입도를 높이는 시네마틱 단편 영상,64%,"262,000원",,약 20시간,누구나,딥러닝,180+
연애 시뮬레이터로 배우는 LLM 기반 가상 캐릭터 만들기,50%,"213,500원",,약 16시간,사전지식 필요,딥러닝,230+
모두의 AI 케인의 LangGraph로 끝내는 멀티 AI Agent ft. 5가지 Advanced AI agent 구축 프로젝트,64%,"285,000원",,약 16시간,사전지식 필요,딥러닝,"1,260+"
플러스엑스 AI를 활용한 BX 프로세스,40%,"337,000원",,약 8시간,누구나,딥러닝,740+
LlamaIndex로 배우는 실무에 가장 가까운 고성능 RAG 설계,60%,"222,000원",,약 20시간,사전지식 필요,딥러닝,100+
국내 공채 1호 프롬프트 엔지니어 강수진의 프롬프트 엔지니어링 A to Z,66%,"186,000원",,약 14시간,누구나,자연어처리,"1,100+"
나도 한다! Stable Diffusion으로 만드는 나만의 2D 캐릭터 & 일러스트,51%,"170,500원",,약 13시간,누구나,딥러닝,150+
"왕초보를 위한 Midjourney와 Stable diffusion, Firefly로 만드는 AI 디자인 바이블",44%,"251,000원",,약 16시간,누구나,딥러닝,440+
LLM 모델 파인튜닝을 위한 GPU 최적화,최저가,"245,000원~",,약 22시간,사전지식 필요,딥러닝,460+
12년차 글로벌 디자이너와 함께하는 Midjourney를 활용한 브랜드 제품 디자인의 모든 것,58%,"180,000원",,약 29시간,누구나,딥러닝,210+
Midjourney와 Stable diffusion으로 만드는 트렌디한 가상 인플루언서,38%,"190,000원",,,,딥러닝,230+
"비전프로 개발 첫걸음, Swift & SwiftUI와 리얼리티킷을 활용한 3D app 구현",73%,"210,000원",,약 12시간,사전지식 필요,컴퓨터비전,150+
The Red : 조태호 교수와 함께하는 모두의 AI,78%,"110,000원",,약 7시간,누구나,딥러닝,130+
16가지 툴로 배우는 생성 AI 마스터 패키지,49%,"176,000원",,,,딥러닝,"1,100+"
The RED : 김형진의 LLaMa3 & 오픈소스 LLM을 활용한 Fine-tuning & AI 서비스 구현,72%,"220,000원",,약 7시간,사전지식 필요,자연어처리,780+
Furiosa AI와 함께 NPU로 끝내는 Computer Vision 프로젝트 구현,45%,"190,000원",,약 9시간,사전지식 필요,컴퓨터비전,100+
"고성능 RAG를 위한 66가지 최신 RAG 테크닉 (ft. Advanced RAG, Modular RAG)",56%,"157,500원",,약 23시간,직무경험 필요,딥러닝,500+
테디노트의 RAG 비법노트 : 랭체인을 활용한 GPT부터 로컬 모델까지의 RAG 가이드,61%,"305,200원",,약 50시간,누구나,인공지능,"3,740+"
8개의 sLM 모델로 끝내는 sLM 파인튜닝,최저가,"226,500원~",,약 33시간,사전지식 필요,딥러닝,750+
모두를 위한 2025 AI 바이블: AI Signature,61%,"270,500원",,약 95시간,사전지식 필요,딥러닝,440+
"[AI 세미나] 김진중 편 (진격의 AI, 개발자는 자멸할까?)",할인 없음,"990,000원",,약 1시간,누구나,인공지능,380+
MIT Media Lab 출신에게 배우는 AI User Interaction 디자인,47%,"266,500원",,약 18시간,사전지식 필요,딥러닝,60+
랭체인 입문 : 5개 프로젝트로 시작하는 LLM 기반의 AI 서비스 개발,68%,"156,700원",,약 25시간,사전지식 필요,자연어처리,310+
20만 음악 유튜버 오땡큐의 AI를 활용한 고퀄리티 사운드/음원 작곡,51%,"226,500원",,약 8시간,누구나,딥러닝,490+
[AI 세미나] 유호현 편: 초기 스타트업의 AI팀 세팅법,할인 없음,"990,000원",,약 1시간,누구나,인공지능,280+
6개 AI 프로덕트로 완성하는 LLM/LMM 서비스 개발의 모든 것 : 프롬프트 엔지니어링부터 멀티모달까지,54%,"240,500원",,약 77시간,사전지식 필요,인공지능,490+
9개 프로젝트로 완성하는 AI/LLM 서비스 개발: 프롬프트 엔지니어링부터 RAG까지,72%,"199,500원",,약 56시간,사전지식 필요,딥러닝,770+
로봇 코딩으로 배우는 기초 AI 코딩,내일배움카드,가격 정보 없음,,,,인공지능,10+
스마트 가전 서비스로 끝내는 5가지 멀티모달 AI 프로덕트 개발,67%,"291,500원",,약 36시간,사전지식 필요,딥러닝,150+
Blender와 Stable Diffusion을 활용한 3D 모션 그래픽,57%,"191,500원",,약 8시간,누구나,딥러닝,400+
ComfyUI를 활용한 브랜드 광고/모델/제품/비주얼 제작,43%,"324,000원",,약 10시간,사전지식 필요,딥러닝,800+
"Stable Diffusion, ComfyUI로 배우는 AI 영상 프로젝트",57%,"283,000원",,약 6시간,누구나,딥러닝,430+
초격차 패키지 : 79개 프로젝트로 끝내는 컴퓨터 비전 이미지 분류,69%,"271,500원",,약 52시간,사전지식 필요,컴퓨터비전,370+
25개 실습으로 끝내는 AI 고객센터 서비스 구축,54%,"271,500원",,약 15시간,사전지식 필요,딥러닝,370+
Midjourney와 Stable diffusion으로 만드는 감쪽같은 AI 가상모델,61%,"280,500원",,약 26시간,누구나,딥러닝,"1,970+"
The RED : Microsoft AI 개발자의 LLM 마스터 클래스 : AI 서비스 개발부터 운영까지 by. 양파,67%,"240,500원",,약 25시간,사전지식 필요,딥러닝,"1,240+"
프로에게 배우는 ComfyUI 이미지/영상/게임/광고 제작,최저가,"401,500원~",,약 43시간,사전지식 필요,딥러닝,"1,720+"
AI 필터 서비스로 시작하는 6가지 생성 AI 이미지 & 영상 프로덕트 개발,53%,"230,500원",,약 50시간,사전지식 필요,딥러닝,310+
RAG를 활용한 완성도 높은 LLM 서비스 구축 With langchain & llamaindex,47%,"206,500원",,약 11시간,사전지식 필요,자연어처리,680+
프로에게 배우는 Midjourney 2D/아트웍/실사 이미지 제작,최저가,"316,500원~",,약 25시간,누구나,딥러닝,960+
Adobe AI를 활용한 이미지&영상 제작,27%,"231,500원",,약 14시간,누구나,딥러닝,360+
Midjourney와 Stable diffusion으로 만드는 하이퀄리티 이미지&영상 제작 마스터,62%,"277,500원",,약 18시간,누구나,딥러닝,"1,160+"
가장 먼저 만나는 Google Gemini,35%,"226,500원",,약 6시간,사전지식 필요,딥러닝,170+
AI 튜터 영어 앱 서비스 구현 With OpenAI API,50%,"296,500원",,약 16시간,사전지식 필요,딥러닝,350+
13개 실습으로 끝내는 OpenAI API 서비스 구축,41%,"204,000원",,약 8시간,사전지식 필요,딥러닝,420+
LLM을 위한 김기현의 NLP EXPRESS,46%,"241,000원",,약 19시간,누구나,자연어처리,140+
ChatGPT API와 감성 분석을 활용한 데이팅 서비스 구현,45%,"326,000원",,약 13시간,사전지식 필요,딥러닝,290+
AI 영상 툴을 활용한 광고/애니메이션/시네마틱 영상 제작,40%,"209,000원",,약 13시간,누구나,딥러닝,"1,220+"
Upstage와 함께 하는 글로벌 OpenLLM 리더보드 1위 모델 리뷰 & LLM 모델 Fine-tuning,4%,"285,500원",,약 8시간,사전지식 필요,딥러닝,760+
딥러닝을 활용한 의료 영상 처리 & 모델 개발,66%,"266,000원",,약 26시간,사전지식 필요,딥러닝,600+
자율주행을 위한 컴퓨터비전과 라이다 & 센서퓨전까지 초격차 패키지 Online.,62%,"409,500원",,약 115시간,사전지식 필요,컴퓨터비전,"1,080+"
일러스트레이터들을 위한 Stable Diffusion과 포토샵 활용법,30%,"314,500원",,약 23시간,사전지식 필요,딥러닝,240+
Stable diffusion과 프로젝션 맵핑을 통한 3D 배경 제작,48%,"259,500원",,약 10시간,사전지식 필요,딥러닝,210+
AI 아티스트 ChaiChai의 스타일리시한 일러스트 제작 w. Midjourney,38%,"179,500원",,약 10시간,누구나,딥러닝,250+
AskUP으로 배우는 ChatGPT 활용과 서비스 구축,49%,"125,500원",,약 6시간,사전지식 필요,딥러닝,110+
"The RED : 프롬프트 엔지니어링, LLM(ChatGPT) 기반의 AI 서비스 개발",65%,"225,000원",,약 16시간,누구나,자연어처리,"2,240+"
ChatGPT API를 활용한 챗봇 서비스 구축 with LangChain & Semantic Kernel,58%,"186,000원",,약 16시간,사전지식 필요,자연어처리,420+
프로에게 배우는 Stable Diffusion 2D/2.5D/실사 이미지 제작,최저가,"389,000원~",,약 45시간,누구나,딥러닝,"2,180+"
알아서 일하는 진짜 인공지능 Auto-GPT 서비스 구현,55%,"157,000원",,약 11시간,누구나,딥러닝,420+
인공지능 활용 능력 완성 (AICA 자격 3급 과정 대비),48%,"179,000원",,약 70시간,누구나,딥러닝,80+
평생 무료로 써먹는 나만의 ChatGPT 영어 선생님,50%,"138,000원",,약 16시간,누구나,자연어처리,290+
비용을 줄이는 LLM(대규모 언어 모델) Prompt Tuning,54%,"178,000원",,약 8시간,사전지식 필요,자연어처리,200+
30개 프로젝트로 끝내는 추천시스템 구현 초격차 패키지,68%,"314,000원",,약 77시간,사전지식 필요,딥러닝,390+
대규모 언어모델 LLAMA를 활용한 프로젝트 구현과 Fine tuning,54%,"179,000원",,약 10시간,사전지식 필요,자연어처리,460+
ChatGPT API를 활용한 서비스 구현,50%,"195,000원",,약 10시간,사전지식 필요,딥러닝,250+
스크래치부터 시작하는 강화학습의 모든 것,48%,"260,000원",,약 53시간,사전지식 필요,딥러닝,270+
ChatGPT 기술 리뷰 A to Z,45%,"140,000원",,약 12시간,사전지식 필요,자연어처리,160+
한 번에 끝내는 자연어 처리 초격차 패키지 Online.,71%,"284,500원",,약 66시간,누구나,자연어처리,380+
빵형의 수학 없이 뽀개는 인공지능 입문,55%,"155,500원",,약 12시간,누구나,딥러닝,150+
혁펜하임의 AI DEEP DIVE (Online.),47%,"185,000원",,약 15시간,누구나,딥러닝,"1,100+"
모델 구현으로 끝내는 GAN 완전정복,66%,"332,000원",,약 21시간,사전지식 필요,딥러닝,180+
The Red : GPT3 거대모델과 블록체인의 결합: AINFT & Web 3.0의 미래,할인 없음,가격 정보 없음,,,,딥러닝,70+
The RED : Deep Multimodal Learning 입문코스,67%,"262,000원",,약 6시간,누구나,딥러닝,100+
The Red : 감정을 담은 AI TTS 개발을 위한 딥러닝 음성 합성 기술,42%,"230,000원",,약 4시간,사전지식 필요,딥러닝,140+
AI Paper : 논문 구현과 실습으로 배우는 NeRF,21%,"299,000원",,약 11시간,사전지식 필요,컴퓨터비전,130+
논문 구현과 실험으로 배우는 딥러닝 모델 성능 최적화,8%,"303,500원",,약 5시간,사전지식 필요,컴퓨터비전,170+
The RED : SOCAR 김상우 HEAD의 비즈니스의 운명을 바꾸는 Dynamic Pricing,56%,"329,500원",,약 10시간,사전지식 필요,딥러닝,100+
THE RED : Area Chair 이광무 교수의 Neural Fields & 3D 컴퓨터 비전,68%,"403,500원",,약 8시간,사전지식 필요,컴퓨터비전,170+
딥러닝·인공지능 Signature 초격차 패키지 Online.,72%,"279,500원",,약 94시간,누구나,딥러닝,"2,400+"
The Red : 딥러닝 뉴럴네트워크 GNN,47%,"369,500원",,약 7시간,사전지식 필요,딥러닝,130+
"김기현의 BERT, GPT-3를 활용한 자연어처리",55%,"286,500원",,약 15시간,사전지식 필요,자연어처리,80+
The RED : 검색엔진 구축을 위한 Elasticsearch 마스터 클래스 by 정호욱,43%,"596,500원",,약 19시간,사전지식 필요,딥러닝,80+
처음부터 시작하는 딥러닝 유치원,39%,"211,500원",,약 23시간,누구나,딥러닝,170+
REC.ON : Autonomous Vehicle,할인 없음,"159,000원",,약 5시간,누구나,딥러닝,60+
김기현의 딥러닝을 활용한 자연어생성,64%,"161,500원",,약 31시간,사전지식 필요,자연어처리,60+
김기현의 딥러닝을 활용한 자연어처리 입문,26%,"273,500원",,약 31시간,누구나,자연어처리,90+
